source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758_intersection	Alces-alces-faeces-associated-microvirus-MP10-5560_taxid_2219133.gbk	Alces-alces-faeces-associated-microvirus-MP11-5517_taxid_2219134.gbk	Alces-alces-faeces-associated-microvirus-MP12-5423_taxid_2219135.gbk	Alces-alces-faeces-associated-microvirus-MP15-5067_taxid_2219136.gbk	Alces-alces-faeces-associated-microvirus-MP18-4940_taxid_2219137.gbk	Bdellovibrio-phage-phiMH2K_taxid_145579.gbk	Cellulophaga-phage-phi12-2_taxid_1327969.gbk	Cellulophaga-phage-phi12a-1_taxid_1327987.gbk	Chimpanzee-faeces-associated-microphage-1_taxid_1676181.gbk	Chimpanzee-faeces-associated-microphage-2_taxid_1676182.gbk	Chimpanzee-faeces-associated-microphage-3_taxid_1676183.gbk	Chlamydia-phage-2_taxid_105154.gbk	Chlamydia-phage-4_taxid_313629.gbk	Chlamydia-phage-CPG1_taxid_90963.gbk	Chlamydia-virus-CPAR39_taxid_1986029.gbk	Chlamydia-virus-Chp1_taxid_2003327.gbk	Eel-River-basin-pequenovirus_taxid_1609634.gbk	Enterobacteria-phage-ID18-sensu-lato_taxid_489829.gbk	Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk	Escherichia-phage-EC6098_taxid_2720215.gbk	Escherichia-phage-G4_taxid_10843.gbk	Escherichia-phage-ID2-Moscow-ID-2001_taxid_511969.gbk	Escherichia-phage-ID21_taxid_338101.gbk	Escherichia-phage-ID32_taxid_338102.gbk	Escherichia-phage-ID52_taxid_338108.gbk	Escherichia-phage-ID62_taxid_338107.gbk	Escherichia-phage-NC28_taxid_338106.gbk	Escherichia-phage-NC29_taxid_338110.gbk	Escherichia-phage-NC35_taxid_338103.gbk	Escherichia-phage-St-1_taxid_10845.gbk	Escherichia-phage-WA45_taxid_338105.gbk	Escherichia-phage-alpha3_taxid_10849.gbk	Escherichia-phage-phiK_taxid_2507234.gbk	Escherichia-virus-phiX174_taxid_10847.gbk	Gokushovirinae-Bog1183-53_taxid_1655646.gbk	Gokushovirinae-Bog5712-52_taxid_1655649.gbk	Gokushovirinae-Bog8989-22_taxid_1655650.gbk	Gokushovirinae-Fen672-31_taxid_1655656.gbk	Gokushovirinae-Fen7875-21_taxid_1655659.gbk	Lynx-canadensis-associated-microvirus-CLP-9413_taxid_2219141.gbk	Marine-gokushovirus_taxid_1385658.gbk	Microviridae-Bog1249-12_taxid_1655647.gbk	Microviridae-Bog5275-51_taxid_1655648.gbk	Microviridae-Bog9017-22_taxid_1655651.gbk	Microviridae-Fen2266-11_taxid_1655652.gbk	Microviridae-Fen418-41_taxid_1655653.gbk	Microviridae-Fen4707-41_taxid_1655654.gbk	Microviridae-Fen685-11_taxid_1655657.gbk	Microviridae-Fen7786-21_taxid_1655658.gbk	Microviridae-Fen7895-21_taxid_1655660.gbk	Microviridae-Fen7918-21_taxid_1655661.gbk	Microviridae-Fen7940-21_taxid_1655662.gbk	Microviridae-IME-16_taxid_1544364.gbk	Microviridae-phi-CA82_taxid_913970.gbk	Parabacteroides-phage-YZ-2015a_taxid_1655644.gbk	Parabacteroides-phage-YZ-2015b_taxid_1655645.gbk	Spiroplasma-virus-SpV4_taxid_10855.gbk	
397_M16p1.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
398_replication_initiato...faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
399_M16p3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
400_M16p4.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
401_M16p5.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
402_M16p6.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
403_major_capsid_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
404_p10.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
408_p4.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
409_p5.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
410_p6.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
411_p7.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
412_p8.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
413_p9.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
416_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
417_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
425_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
426_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
427_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
428_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
429_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
431_minor_capsid_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
432_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
