#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UniRef50_A0A1Q9EEX7    -          YP_009664532.1       -            5.3e-59  210.6 245.7   1.4e+02   13.7   2.4  29.2   1   1  31  32  32  32   0 Uncharacterized protein n=1 Tax=Symbiodinium microadriaticum TaxID=2951 RepID=A0A1Q9EEX7_SYMMI
UniRef50_D4K9B0        -          YP_009664532.1       -            6.6e-41  151.6   9.8   1.8e-40  150.3   9.8   1.6   1   1   0   1   1   1   1 TraX protein n=81 Tax=Firmicutes TaxID=1239 RepID=D4K9B0_9FIRM
UniRef50_A0A7C6M744    -          YP_009664532.1       -            6.9e-41  151.6  25.5   8.6e-41  151.3  25.5   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=bacterium TaxID=1869227 RepID=A0A7C6M744_9BACT
UniRef50_A0A0L0WDP0    -          YP_009664532.1       -            7.1e-41  151.6  21.2   8.2e-41  151.3  21.2   1.0   1   0   0   1   1   1   1 TraX family protein n=1 Tax=Gottschalkia purinilytica TaxID=1503 RepID=A0A0L0WDP0_GOTPU
UniRef50_R6GA20        -          YP_009664532.1       -            7.2e-41  151.5  22.3   8.8e-41  151.2  21.6   1.5   1   1   0   1   1   1   1 Uncharacterized protein n=16 Tax=Lachnospiraceae TaxID=186803 RepID=R6GA20_9FIRM
UniRef50_A0A4P8XWF1    -          YP_009664532.1       -            7.6e-41  151.5  20.3   9.1e-41  151.2  20.3   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=Eubacteriales TaxID=186802 RepID=A0A4P8XWF1_9FIRM
UniRef50_C6LE90        -          YP_009664532.1       -            7.7e-41  151.4  20.5     9e-41  151.2  20.5   1.0   1   0   0   1   1   1   1 Protein TraX n=1 Tax=Marvinbryantia formatexigens DSM 14469 TaxID=478749 RepID=C6LE90_9FIRM
UniRef50_X4ZKD6        -          YP_009664532.1       -            8.8e-41  151.3  16.7     1e-40  151.0  16.7   1.0   1   0   0   1   1   1   1 TraX family protein n=114 Tax=Bacillales TaxID=1385 RepID=X4ZKD6_9BACL
UniRef50_C5EF12        -          YP_009664532.1       -            9.2e-41  151.2   9.7   3.4e-40  149.3   9.7   1.7   1   1   0   1   1   1   1 Uncharacterized protein n=12 Tax=Eubacteriales TaxID=186802 RepID=C5EF12_9FIRM
UniRef50_R5PDU5        -          YP_009664532.1       -              1e-40  151.0  18.4   2.9e-40  149.5  18.4   1.6   1   1   0   1   1   1   1 Uncharacterized protein n=10 Tax=Eubacteriales TaxID=186802 RepID=R5PDU5_9CLOT
UniRef50_UPI00174D8545 -          YP_009664532.1       -            1.1e-40  150.9  18.9   1.3e-40  150.7  18.9   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Ruminococcus sp. UBA1409 TaxID=1947405 RepID=UPI00174D8545
UniRef50_R5EM87        -          YP_009664532.1       -            1.2e-40  150.9  12.8   1.4e-40  150.6  12.8   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=3 Tax=Firmicutes TaxID=1239 RepID=R5EM87_9FIRM
UniRef50_Q76M26        -          YP_009664532.1       -            1.2e-40  150.8  13.5   1.5e-40  150.5  13.5   1.1   1   0   0   1   1   1   1 TrbP n=20 Tax=root TaxID=1 RepID=Q76M26_DELAC
UniRef50_A0A1G8RMS0    -          YP_009664532.1       -            1.3e-40  150.7  23.0     2e-29  114.2  18.6   2.3   1   1   1   2   2   2   2 TraX protein n=1 Tax=Lachnospiraceae bacterium G41 TaxID=1200749 RepID=A0A1G8RMS0_9FIRM
UniRef50_UPI00047FE123 -          YP_009664532.1       -            1.3e-40  150.7  22.3   1.6e-40  150.4  22.3   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Clostridium hydrogeniformans TaxID=349933 RepID=UPI00047FE123
UniRef50_UPI0002AC3190 -          YP_009664532.1       -            1.4e-40  150.6  17.9   1.5e-40  150.5  17.9   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Synechocystis sp. PCC 7509 TaxID=927677 RepID=UPI0002AC3190
UniRef50_U2ANA5        -          YP_009664532.1       -            1.4e-40  150.6  15.7   1.9e-40  150.1  15.7   1.2   1   0   0   1   1   1   1 Uncharacterized protein n=15 Tax=Eubacteriales TaxID=186802 RepID=U2ANA5_9CLOT
UniRef50_A0A0D5NJ50    -          YP_009664532.1       -            1.4e-40  150.6  22.2   1.6e-40  150.4  22.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=6 Tax=Paenibacillaceae TaxID=186822 RepID=A0A0D5NJ50_9BACL
UniRef50_A0A6N8H1G4    -          YP_009664532.1       -            1.5e-40  150.5   6.2     2e-40  150.1   6.2   1.1   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=2 Tax=Subdoligranulum sp. TaxID=2053618 RepID=A0A6N8H1G4_9FIRM
UniRef50_R7AZF3        -          YP_009664532.1       -            1.5e-40  150.5  10.7   1.9e-40  150.2  10.7   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=25 Tax=Clostridium TaxID=1485 RepID=R7AZF3_9CLOT
UniRef50_E6LPR2        -          YP_009664532.1       -            1.6e-40  150.4  23.3     2e-40  150.1  23.3   1.1   1   0   0   1   1   1   1 Protein TraX n=21 Tax=Lachnospiraceae TaxID=186803 RepID=E6LPR2_9FIRM
UniRef50_A0A559J2H2    -          YP_009664532.1       -            1.6e-40  150.4  24.7   1.8e-40  150.2  24.7   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Paenibacillus sp. N4 TaxID=2590547 RepID=A0A559J2H2_9BACL
UniRef50_A0A847CTE6    -          YP_009664532.1       -            1.6e-40  150.4  20.0   4.3e-40  149.0  20.0   1.6   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Tissierellia bacterium TaxID=2049431 RepID=A0A847CTE6_9FIRM
UniRef50_A0A358APK0    -          YP_009664532.1       -            1.6e-40  150.4  17.3   1.9e-40  150.1  17.3   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridiales bacterium TaxID=1898207 RepID=A0A358APK0_9FIRM
UniRef50_UPI001747E094 -          YP_009664532.1       -            1.6e-40  150.4  14.0   1.9e-40  150.1  14.0   1.1   1   0   0   1   1   1   1 protein TraX n=1 Tax=Candidatus Pseudoruminococcus merdavium TaxID=2721149 RepID=UPI001747E094
UniRef50_R6MG49        -          YP_009664532.1       -            1.7e-40  150.3  13.0     2e-40  150.1  13.0   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=20 Tax=Coprococcus TaxID=33042 RepID=R6MG49_9FIRM
UniRef50_D3E7Q2        -          YP_009664532.1       -            1.8e-40  150.3  14.4     2e-40  150.1  14.4   1.0   1   0   0   1   1   1   1 TraX family protein n=56 Tax=Bacillales TaxID=1385 RepID=D3E7Q2_GEOS4
UniRef50_A0A3D4X931    -          YP_009664532.1       -            1.8e-40  150.2  23.3   2.7e-40  149.7  23.3   1.3   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A3D4X931_9FIRM
UniRef50_UPI000C79CF2F -          YP_009664532.1       -              2e-40  150.1  21.3   2.3e-40  149.9  21.3   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Marasmitruncus massiliensis TaxID=1944642 RepID=UPI000C79CF2F
UniRef50_A0A7C7ADU0    -          YP_009664532.1       -              2e-40  150.1  22.8   2.3e-40  149.9  22.8   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridiales bacterium TaxID=1898207 RepID=A0A7C7ADU0_9FIRM
UniRef50_R7IA24        -          YP_009664532.1       -            2.1e-40  150.0  16.2   2.8e-40  149.6  16.2   1.2   1   0   0   1   1   1   1 Uncharacterized protein n=8 Tax=Eubacteriales TaxID=186802 RepID=R7IA24_9FIRM
UniRef50_A0A3D5UPK7    -          YP_009664532.1       -            2.2e-40  150.0  21.8   2.5e-40  149.8  21.8   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Eubacteriaceae bacterium TaxID=2049045 RepID=A0A3D5UPK7_9FIRM
UniRef50_UPI001AE4E2CF -          YP_009664532.1       -            2.2e-40  150.0  22.8   2.5e-40  149.8  22.8   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Peptoniphilus stercorisuis TaxID=1436965 RepID=UPI001AE4E2CF
UniRef50_E0RYV3        -          YP_009664532.1       -            2.4e-40  149.8  24.2     4e-40  149.1  24.2   1.4   1   1   0   1   1   1   1 Uncharacterized protein n=17 Tax=Butyrivibrio TaxID=830 RepID=E0RYV3_BUTPB
UniRef50_UPI0009BA3FC1 -          YP_009664532.1       -            2.4e-40  149.8  10.9   3.8e-40  149.2  10.9   1.3   1   1   0   1   1   1   1 hypothetical protein n=1 Tax=Pseudoflavonifractor sp. Marseille-P3106 TaxID=1871015 RepID=UPI0009BA3FC1
UniRef50_A0A0P7ZRJ5    -          YP_009664532.1       -            2.5e-40  149.8  14.8   2.9e-40  149.6  14.8   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Synechococcales TaxID=1890424 RepID=A0A0P7ZRJ5_9CYAN
UniRef50_R7FEB5        -          YP_009664532.1       -            2.5e-40  149.7  26.3   2.9e-40  149.5  26.3   1.0   1   0   0   1   1   1   1 Putative membrane protein n=2 Tax=environmental samples TaxID=129701 RepID=R7FEB5_9FIRM
UniRef50_A0A0W0VZZ8    -          YP_009664532.1       -            2.7e-40  149.7  26.2   3.1e-40  149.5  26.2   1.0   1   0   0   1   1   1   1 TraX protein n=5 Tax=Tatlockia TaxID=465 RepID=A0A0W0VZZ8_9GAMM
UniRef50_A0A2G3E2K0    -          YP_009664532.1       -            3.2e-40  149.4  27.8   6.1e-40  148.5  27.8   1.5   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Agathobacter ruminis TaxID=1712665 RepID=A0A2G3E2K0_9FIRM
UniRef50_A0A1E3LA10    -          YP_009664532.1       -            3.2e-40  149.4  24.0   3.7e-40  149.2  24.0   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=19 Tax=Paenibacillus TaxID=44249 RepID=A0A1E3LA10_9BACL
UniRef50_H3NKW8        -          YP_009664532.1       -            3.5e-40  149.3  21.0   4.6e-40  148.9  21.0   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=5 Tax=Facklamia TaxID=66831 RepID=H3NKW8_9LACT
UniRef50_A0A1Y4S3Y1    -          YP_009664532.1       -            3.6e-40  149.2  13.2   1.3e-39  147.5  13.2   1.7   1   1   0   1   1   1   1 Uncharacterized protein n=9 Tax=Eubacteriales TaxID=186802 RepID=A0A1Y4S3Y1_9FIRM
UniRef50_A0A7X8IBQ3    -          YP_009664532.1       -            4.4e-40  149.0  24.7   5.1e-40  148.8  24.7   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Epulopiscium sp. TaxID=2384 RepID=A0A7X8IBQ3_9FIRM
UniRef50_A0A0D0SCS8    -          YP_009664532.1       -            4.5e-40  148.9  19.0   6.3e-40  148.5  19.0   1.2   1   0   0   1   1   1   1 TWA4_scaffold00001, whole genome shotgun sequence n=1 Tax=Lachnospiraceae bacterium TWA4 TaxID=1392836 RepID=A0A0D0SCS8_9FIRM
UniRef50_A0A6N8G1A1    -          YP_009664532.1       -            5.1e-40  148.8  16.2   5.9e-40  148.6  16.2   1.0   1   0   0   1   1   1   1 TraX family protein n=6 Tax=Cyanobacteria TaxID=1117 RepID=A0A6N8G1A1_9CHRO
UniRef50_UPI00195D8571 -          YP_009664532.1       -            5.8e-40  148.6  26.4   6.6e-40  148.4  26.4   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Alkaliphilus hydrothermalis TaxID=1482730 RepID=UPI00195D8571
UniRef50_A0A845QZP1    -          YP_009664532.1       -            5.9e-40  148.5  32.4   6.8e-40  148.3  32.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Senegalia massiliensis TaxID=1720316 RepID=A0A845QZP1_9CLOT
UniRef50_UPI0017486E20 -          YP_009664532.1       -              6e-40  148.5  20.7   6.9e-40  148.3  20.7   1.0   1   0   0   1   1   1   1 hypothetical protein n=2 Tax=Candidatus Pararuminococcus gallinarum TaxID=2721144 RepID=UPI0017486E20
UniRef50_A0A7V6YRL5    -          YP_009664532.1       -              6e-40  148.5  24.2   6.8e-40  148.4  24.2   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Bacillus sp. TaxID=1409 RepID=A0A7V6YRL5_BACSP
UniRef50_X8GY49        -          YP_009664532.1       -            6.2e-40  148.5  14.2   7.2e-40  148.3  14.2   1.0   1   0   0   1   1   1   1 Protein TraX n=3 Tax=Shuttleworthia TaxID=177971 RepID=X8GY49_9FIRM
UniRef50_A0A2I2K706    -          YP_009664532.1       -            6.5e-40  148.4  18.1   8.4e-40  148.0  18.1   1.1   1   0   0   1   1   1   1 Conserved membrane protein n=1 Tax=uncultured bacterium TaxID=77133 RepID=A0A2I2K706_9BACT
UniRef50_A0A090ZBQ6    -          YP_009664532.1       -            6.8e-40  148.3  23.5   8.1e-40  148.1  23.5   1.1   1   0   0   1   1   1   1 TraX family protein n=10 Tax=Firmicutes TaxID=1239 RepID=A0A090ZBQ6_9BACI
UniRef50_UPI0016858337 -          YP_009664532.1       -            7.3e-40  148.3  21.1   8.2e-40  148.1  21.1   1.0   1   0   0   1   1   1   1 conjugal transfer protein TraX n=1 Tax=Paenibacillus sp. IB182363 TaxID=2772510 RepID=UPI0016858337
UniRef50_A0A417U0C7    -          YP_009664532.1       -            7.6e-40  148.2  20.2   8.9e-40  148.0  20.2   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=2 Tax=Eubacteriales TaxID=186802 RepID=A0A417U0C7_9FIRM
UniRef50_R6AL90        -          YP_009664532.1       -            8.4e-40  148.1  27.2   9.7e-40  147.8  27.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Clostridiaceae TaxID=31979 RepID=R6AL90_9CLOT
UniRef50_A0A7X2NKP2    -          YP_009664532.1       -            8.8e-40  148.0  16.6     1e-39  147.7  16.6   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridium porci TaxID=2605778 RepID=A0A7X2NKP2_9CLOT
UniRef50_W6S6B8        -          YP_009664532.1       -            8.8e-40  148.0  27.7   2.2e-39  146.7  27.7   1.6   1   1   0   1   1   1   1 Putative membrane protein n=18 Tax=Firmicutes TaxID=1239 RepID=W6S6B8_9CLOT
UniRef50_A0A413I6S1    -          YP_009664532.1       -            8.9e-40  148.0  25.3   2.5e-39  146.5  25.3   1.6   1   1   0   1   1   1   1 Uncharacterized protein n=2 Tax=Eubacteriales TaxID=186802 RepID=A0A413I6S1_9FIRM
UniRef50_A0A1S9CPB6    -          YP_009664532.1       -            9.1e-40  147.9  24.1   1.1e-39  147.6  24.1   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Epulopiscium sp. Nele67-Bin004 TaxID=1764962 RepID=A0A1S9CPB6_9FIRM
UniRef50_A0A7V8A4X7    -          YP_009664532.1       -            9.1e-40  147.9  21.7   1.1e-39  147.7  21.7   1.0   1   0   0   1   1   1   1 TraX family protein n=1 Tax=Fusobacteria bacterium TaxID=2060921 RepID=A0A7V8A4X7_9BACT
UniRef50_A0A011QSM8    -          YP_009664532.1       -            9.6e-40  147.9  23.1   1.1e-39  147.7  23.1   1.0   1   0   0   1   1   1   1 Conserved membrane protein n=6 Tax=Alkalibacterium TaxID=99906 RepID=A0A011QSM8_9LACT
UniRef50_A0A1H7Q806    -          YP_009664532.1       -            9.7e-40  147.8  18.9   1.1e-39  147.6  18.9   1.0   1   0   0   1   1   1   1 TraX protein n=9 Tax=Ruminococcus flavefaciens TaxID=1265 RepID=A0A1H7Q806_RUMFL
UniRef50_A0A1H7KSY3    -          YP_009664532.1       -              1e-39  147.8  20.5   2.6e-39  146.4  20.5   1.6   1   1   0   1   1   1   1 TraX protein n=9 Tax=Pseudobutyrivibrio TaxID=46205 RepID=A0A1H7KSY3_9FIRM
UniRef50_A0A1Q6R0I1    -          YP_009664532.1       -              1e-39  147.8  13.9   1.2e-39  147.5  13.9   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Firmicutes bacterium CAG:176_63_11 TaxID=1897031 RepID=A0A1Q6R0I1_9FIRM
UniRef50_A0A2P1G376    -          YP_009664532.1       -            1.2e-39  147.6  30.6   1.7e-39  147.1  29.7   1.7   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=3 Tax=Eubacteriales TaxID=186802 RepID=A0A2P1G376_9FIRM
UniRef50_A0A1Y4RRE5    -          YP_009664532.1       -            1.2e-39  147.6  14.3   1.4e-39  147.3  14.3   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnoclostridium sp. An14 TaxID=1965562 RepID=A0A1Y4RRE5_9FIRM
UniRef50_UPI0015F3F745 -          YP_009664532.1       -            1.2e-39  147.6  29.4   1.4e-39  147.4  29.4   1.0   1   0   0   1   1   1   1 conjugal transfer protein TraX n=1 Tax=Bacillus taxi TaxID=2499688 RepID=UPI0015F3F745
UniRef50_UPI000F641C89 -          YP_009664532.1       -            1.2e-39  147.5  29.8   1.4e-39  147.3  29.8   1.0   1   0   0   1   1   1   1 conjugal transfer protein TraX n=1 Tax=Clostridium rectalis TaxID=2040295 RepID=UPI000F641C89
UniRef50_A0A3N1Y006    -          YP_009664532.1       -            1.2e-39  147.5  23.3   1.4e-39  147.3  23.3   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Mobilisporobacter senegalensis TaxID=1329262 RepID=A0A3N1Y006_9FIRM
UniRef50_A0A658JN47    -          YP_009664532.1       -            1.3e-39  147.4  22.7   3.7e-39  146.0  22.7   1.6   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=3 Tax=Clostridiaceae TaxID=31979 RepID=A0A658JN47_9CLOT
UniRef50_A0A6S6XL14    -          YP_009664532.1       -            1.4e-39  147.4  14.8   1.6e-39  147.1  14.8   1.1   1   0   0   1   1   1   1 Putative fimbrial assembly protein FimC, serogroup D n=1 Tax=Ruminococcaceae bacterium BL-6 TaxID=2799561 RepID=A0A6S6XL14_9FIRM
UniRef50_W6AWJ8        -          YP_009664532.1       -            1.4e-39  147.3  23.2   1.7e-39  147.1  23.2   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=33 Tax=Bacteria TaxID=2 RepID=W6AWJ8_ECOLX
UniRef50_A0A3N0AAM8    -          YP_009664532.1       -            1.4e-39  147.3   9.3   1.6e-28  111.3   2.9   2.1   2   0   0   2   2   2   2 Uncharacterized protein n=3 Tax=Parvibacter caecicola TaxID=747645 RepID=A0A3N0AAM8_9ACTN
UniRef50_A0A4R1R358    -          YP_009664532.1       -            1.6e-39  147.1  24.2     2e-39  146.9  24.2   1.1   1   0   0   1   1   1   1 TraX protein n=1 Tax=Kineothrix alysoides TaxID=1469948 RepID=A0A4R1R358_9FIRM
UniRef50_A0A379DEP8    -          YP_009664532.1       -            1.7e-39  147.1  16.6   2.1e-39  146.7  16.6   1.1   1   0   0   1   1   1   1 Conjugal transfer protein TrbP n=2 Tax=Peptoniphilus indolicus TaxID=33030 RepID=A0A379DEP8_9FIRM
UniRef50_Q186M8        -          YP_009664532.1       -            1.8e-39  147.0  32.2   1.6e-22   91.7  12.0   2.0   1   1   1   2   2   2   2 Protein trax n=90 Tax=Eubacteriales TaxID=186802 RepID=Q186M8_CLOD6
UniRef50_UPI00047242E2 -          YP_009664532.1       -            1.8e-39  146.9  25.9   2.1e-39  146.8  25.9   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Brevibacillus agri TaxID=51101 RepID=UPI00047242E2
UniRef50_UPI0017489720 -          YP_009664532.1       -            1.9e-39  146.9  22.9   2.2e-39  146.7  22.9   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Candidatus Neoclostridium roslinense TaxID=2721138 RepID=UPI0017489720
UniRef50_A0A174FRB9    -          YP_009664532.1       -            1.9e-39  146.9   9.9     1e-38  144.5   9.9   1.8   1   1   0   1   1   1   1 TraX n=21 Tax=Eubacteriales TaxID=186802 RepID=A0A174FRB9_9FIRM
UniRef50_A0A7C6HCC6    -          YP_009664532.1       -            1.9e-39  146.9  16.7   1.9e-39  146.9  16.7   1.7   2   0   0   2   2   1   1 Conjugal transfer protein TraX n=2 Tax=Firmicutes TaxID=1239 RepID=A0A7C6HCC6_9FIRM
UniRef50_UPI001964F7F6 -          YP_009664532.1       -              2e-39  146.8  18.4   2.4e-39  146.6  18.4   1.1   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Desulfobulbus alkaliphilus TaxID=869814 RepID=UPI001964F7F6
UniRef50_V2XLD0        -          YP_009664532.1       -            2.1e-39  146.8  13.0   2.6e-39  146.4  13.0   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Catonella TaxID=43996 RepID=V2XLD0_9FIRM
UniRef50_A0A4P5P9K0    -          YP_009664532.1       -            2.1e-39  146.8  22.3   2.4e-39  146.6  22.3   1.0   1   0   0   1   1   1   1 Fimbrial assembly protein fimC n=3 Tax=Lactobacillales TaxID=186826 RepID=A0A4P5P9K0_9ENTE
UniRef50_A0A348NIA9    -          YP_009664532.1       -            2.2e-39  146.7  22.3   2.6e-39  146.5  22.3   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Tenericutes TaxID=544448 RepID=A0A348NIA9_9MOLU
UniRef50_A8SNZ8        -          YP_009664532.1       -            2.3e-39  146.6  18.9   2.7e-39  146.4  18.9   1.1   1   0   0   1   1   1   1 Protein TraX n=15 Tax=Lachnospiraceae TaxID=186803 RepID=A8SNZ8_9FIRM
UniRef50_C0CIB2        -          YP_009664532.1       -            2.3e-39  146.6  27.0     4e-39  145.8  27.0   1.4   1   1   0   1   1   1   1 Uncharacterized protein n=4 Tax=Blautia TaxID=572511 RepID=C0CIB2_BLAHS
UniRef50_A0A3D0H062    -          YP_009664532.1       -            2.3e-39  146.6  15.9   3.5e-39  146.0  15.9   1.3   1   0   0   1   1   1   1 TraX protein (Fragment) n=1 Tax=Eubacterium sp. TaxID=142586 RepID=A0A3D0H062_9FIRM
UniRef50_A0A841T741    -          YP_009664532.1       -            2.9e-39  146.3  19.3   3.3e-39  146.1  19.3   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=4 Tax=Cohnella TaxID=329857 RepID=A0A841T741_9BACL
UniRef50_A0A396Q144    -          YP_009664532.1       -            2.9e-39  146.3  14.5     5e-39  145.5  14.5   1.4   1   1   0   1   1   1   1 Uncharacterized protein n=7 Tax=Eubacteriales TaxID=186802 RepID=A0A396Q144_9CLOT
UniRef50_A0A069RHM6    -          YP_009664532.1       -              3e-39  146.3  23.0   3.7e-39  146.0  23.0   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=28 Tax=Firmicutes TaxID=1239 RepID=A0A069RHM6_PEPLI
UniRef50_C8WNZ7        -          YP_009664532.1       -              3e-39  146.3  15.7   3.5e-39  146.0  15.7   1.1   1   0   0   1   1   1   1 TraX family protein n=27 Tax=Coriobacteriia TaxID=84998 RepID=C8WNZ7_EGGLE
UniRef50_A0A3B9IAK6    -          YP_009664532.1       -              3e-39  146.2  22.5   7.4e-39  145.0  22.4   1.6   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A3B9IAK6_9FIRM
UniRef50_B2J619        -          YP_009664532.1       -            3.1e-39  146.2  19.9   3.5e-39  146.0  19.9   1.0   1   0   0   1   1   1   1 TraX family protein n=47 Tax=Nostocales TaxID=1161 RepID=B2J619_NOSP7
UniRef50_A0A351ZG81    -          YP_009664532.1       -            3.3e-39  146.1  17.5   3.8e-39  145.9  17.5   1.0   1   0   0   1   1   1   1 Pilus assembly protein n=1 Tax=Ruminococcus sp. TaxID=41978 RepID=A0A351ZG81_9FIRM
UniRef50_A0A1I4GUP9    -          YP_009664532.1       -            3.6e-39  146.0  31.8   4.2e-39  145.8  31.8   1.1   1   0   0   1   1   1   1 TraX protein n=6 Tax=Paenibacillus TaxID=44249 RepID=A0A1I4GUP9_9BACL
UniRef50_A0A7C8FMC8    -          YP_009664532.1       -              4e-39  145.8  14.3   4.9e-39  145.5  14.3   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Adlercreutzia muris TaxID=1796610 RepID=A0A7C8FMC8_9ACTN
UniRef50_A0A1G5DVJ7    -          YP_009664532.1       -            4.1e-39  145.8  19.1   5.7e-39  145.3  19.1   1.2   1   0   0   1   1   1   1 TraX protein n=5 Tax=Lachnospiraceae TaxID=186803 RepID=A0A1G5DVJ7_9FIRM
UniRef50_R5Z7I0        -          YP_009664532.1       -            4.2e-39  145.8  28.1   5.3e-39  145.4  28.1   1.1   1   0   0   1   1   1   1 Protein TraX n=4 Tax=Eubacterium TaxID=1730 RepID=R5Z7I0_9FIRM
UniRef50_A0A1M5T1Y2    -          YP_009664532.1       -            4.4e-39  145.7  14.5     5e-39  145.5  14.5   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Butyrivibrio fibrisolvens TaxID=831 RepID=A0A1M5T1Y2_BUTFI
UniRef50_R7N3R7        -          YP_009664532.1       -            4.5e-39  145.7  26.4   1.1e-20   85.7   8.6   3.0   2   1   1   3   3   3   2 TraX protein n=1 Tax=Firmicutes bacterium CAG:95 TaxID=1262988 RepID=R7N3R7_9FIRM
UniRef50_A0A3B8U465    -          YP_009664532.1       -            4.6e-39  145.7  16.3   1.3e-38  144.1  16.3   1.8   1   1   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A3B8U465_9FIRM
UniRef50_A0A1B7LN86    -          YP_009664532.1       -            4.8e-39  145.6  22.0   5.8e-39  145.3  22.0   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Candidatus Arthromitus sp. SFB-turkey TaxID=1840217 RepID=A0A1B7LN86_9CLOT
UniRef50_A0A1G5AQA8    -          YP_009664532.1       -            5.1e-39  145.5  23.4   9.9e-39  144.6  23.4   1.5   1   1   0   1   1   1   1 TraX protein n=1 Tax=Lachnospiraceae bacterium XPB1003 TaxID=1520825 RepID=A0A1G5AQA8_9FIRM
UniRef50_A0A7C6YLS7    -          YP_009664532.1       -            5.5e-39  145.4  23.7   6.2e-39  145.2  23.7   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=2 Tax=Clostridia bacterium TaxID=2044939 RepID=A0A7C6YLS7_9FIRM
UniRef50_U2EIP3        -          YP_009664532.1       -            5.5e-39  145.4  22.0   1.2e-38  144.2  22.0   1.5   1   1   0   1   1   1   1 Uncharacterized protein n=136 Tax=Clostridia TaxID=186801 RepID=U2EIP3_9FIRM
UniRef50_G1X1A4        -          YP_009664532.1       -              6e-39  145.3  10.5   7.2e-39  145.0  10.5   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=Orbilia oligospora TaxID=2813651 RepID=G1X1A4_ARTOA
UniRef50_UPI00174E42B1 -          YP_009664532.1       -            6.4e-39  145.2  18.2     8e-39  144.9  18.2   1.1   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Candidatus Neoruminococcus faecicola TaxID=2721139 RepID=UPI00174E42B1
